Year,Quarter,State,Insurance_count,Insurance_amount
2023,2,puducherry,1809,2614006.0
2023,2,tamil nadu,79698,105328191.0
2023,2,uttar pradesh,74194,122522457.0
2023,2,madhya pradesh,27027,44871764.0
2023,2,andhra pradesh,36376,52067478.0
2023,2,tripura,1563,2163813.0
2023,2,lakshadweep,15,38384.0
2023,2,manipur,123,341671.0
2023,2,maharashtra,102754,157303399.0
2023,2,dadra & nagar haveli & daman & diu,694,1058753.0
2023,2,meghalaya,730,1551577.0
2023,2,andaman & nicobar islands,768,1233395.0
2023,2,haryana,40710,62186066.0
2023,2,rajasthan,37170,61301449.0
2023,2,ladakh,215,635831.0
2023,2,punjab,13187,24998175.0
2023,2,assam,16475,28368139.0
2023,2,jharkhand,16662,23216215.0
2023,2,odisha,22163,31307110.0
2023,2,bihar,29212,40354886.0
2023,2,kerala,61032,100620604.0
2023,2,karnataka,117232,175704013.0
2023,2,chandigarh,1704,2501107.0
2023,2,telangana,55118,79238968.0
2023,2,himachal pradesh,4197,8499425.0
2023,2,west bengal,49792,65204280.0
2023,2,gujarat,32484,46254095.0
2023,2,sikkim,270,628191.0
2023,2,nagaland,269,628890.0
2023,2,mizoram,119,232928.0
2023,2,chhattisgarh,10514,16389610.0
2023,2,jammu & kashmir,5262,10974839.0
2023,2,goa,4166,5930801.0
2023,2,arunachal pradesh,696,2095988.0
2023,2,delhi,41358,54951108.0
2023,2,uttarakhand,8051,14034915.0
2023,3,puducherry,2232,2891647.0
2023,3,tamil nadu,91069,114625593.0
2023,3,uttar pradesh,78940,121483170.0
2023,3,madhya pradesh,29300,46963348.0
2023,3,andhra pradesh,43150,57802396.0
2023,3,tripura,2071,2899393.0
2023,3,lakshadweep,12,12407.0
2023,3,manipur,76,193021.0
2023,3,maharashtra,104872,151171882.0
2023,3,dadra & nagar haveli & daman & diu,969,1333103.0
2023,3,meghalaya,809,1728076.0
2023,3,andaman & nicobar islands,795,1251145.0
2023,3,haryana,42815,61782311.0
2023,3,rajasthan,39960,64328784.0
2023,3,ladakh,232,649027.0
2023,3,punjab,14048,24461488.0
2023,3,assam,22593,35618158.0
2023,3,jharkhand,19478,25165702.0
2023,3,odisha,20263,29008350.0
2023,3,bihar,36550,45832355.0
2023,3,kerala,66059,110021582.0
2023,3,karnataka,139699,199448538.0
2023,3,chandigarh,1883,2660630.0
2023,3,telangana,61523,84397465.0
2023,3,himachal pradesh,3935,7869767.0
2023,3,west bengal,58131,76359312.0
2023,3,gujarat,51049,65768085.0
2023,3,sikkim,251,698251.0
2023,3,nagaland,268,632287.0
2023,3,mizoram,166,271799.0
2023,3,chhattisgarh,11927,17838382.0
2023,3,jammu & kashmir,5453,10975874.0
2023,3,goa,3927,5646054.0
2023,3,arunachal pradesh,718,1904786.0
2023,3,delhi,47113,58878500.0
2023,3,uttarakhand,7856,12636749.0
2023,4,puducherry,2447,3419395.0
2023,4,tamil nadu,104871,139433796.0
2023,4,uttar pradesh,92125,165509877.0
2023,4,madhya pradesh,40784,73801070.0
2023,4,andhra pradesh,41798,62342423.0
2023,4,tripura,2237,3169741.0
2023,4,lakshadweep,53,78346.0
2023,4,manipur,225,476626.0
2023,4,maharashtra,136968,217657114.0
2023,4,dadra & nagar haveli & daman & diu,1207,1973867.0
2023,4,meghalaya,806,1843364.0
2023,4,andaman & nicobar islands,1145,1757821.0
2023,4,haryana,47506,80747159.0
2023,4,rajasthan,49741,94701652.0
2023,4,ladakh,242,718967.0
2023,4,punjab,13777,28715828.0
2023,4,assam,23168,38731734.0
2023,4,jharkhand,22398,33484644.0
2023,4,odisha,25065,39753392.0
2023,4,bihar,41447,57624322.0
2023,4,kerala,73543,121905046.0
2023,4,karnataka,156076,248056311.0
2023,4,chandigarh,1767,3053934.0
2023,4,telangana,63993,105605522.0
2023,4,himachal pradesh,5211,11898824.0
2023,4,west bengal,72712,100365562.0
2023,4,gujarat,41128,66735446.0
2023,4,sikkim,324,793745.0
2023,4,nagaland,331,822973.0
2023,4,mizoram,312,557950.0
2023,4,chhattisgarh,17300,29704673.0
2023,4,jammu & kashmir,6264,13932309.0
2023,4,goa,4883,7411001.0
2023,4,arunachal pradesh,809,2105408.0
2023,4,delhi,56336,77332401.0
2023,4,uttarakhand,10040,19045152.0
2023,1,puducherry,1955,2593091.0
2023,1,tamil nadu,90690,116710222.0
2023,1,uttar pradesh,73080,127110494.0
2023,1,madhya pradesh,26393,45135679.0
2023,1,andhra pradesh,34920,51963355.0
2023,1,tripura,1642,2404958.0
2023,1,lakshadweep,26,30199.0
2023,1,manipur,222,632084.0
2023,1,maharashtra,112174,166596248.0
2023,1,dadra & nagar haveli & daman & diu,799,1215168.0
2023,1,meghalaya,562,1187523.0
2023,1,andaman & nicobar islands,1004,1439198.0
2023,1,haryana,37287,61127194.0
2023,1,rajasthan,34415,61441050.0
2023,1,ladakh,161,495736.0
2023,1,punjab,10816,23330966.0
2023,1,assam,22100,36963888.0
2023,1,jharkhand,16108,23823406.0
2023,1,odisha,18899,29360555.0
2023,1,bihar,26929,38746711.0
2023,1,kerala,62377,101786828.0
2023,1,karnataka,127376,186543426.0
2023,1,chandigarh,1520,2415574.0
2023,1,telangana,54508,82678207.0
2023,1,himachal pradesh,3909,7826133.0
2023,1,west bengal,56833,77461732.0
2023,1,gujarat,32600,46937694.0
2023,1,sikkim,260,688605.0
2023,1,nagaland,320,704957.0
2023,1,mizoram,171,326688.0
2023,1,chhattisgarh,10460,16577191.0
2023,1,jammu & kashmir,4555,10275877.0
2023,1,goa,4097,5859549.0
2023,1,arunachal pradesh,606,1747475.0
2023,1,delhi,45821,61040038.0
2023,1,uttarakhand,7552,13599026.0
2021,2,puducherry,526,508277.0
2021,2,tamil nadu,17682,16444344.0
2021,2,uttar pradesh,25952,25137571.0
2021,2,madhya pradesh,14803,9787391.0
2021,2,andhra pradesh,33205,22730687.0
2021,2,tripura,381,409934.0
2021,2,lakshadweep,5,6962.0
2021,2,manipur,127,81332.0
2021,2,maharashtra,70381,46763103.0
2021,2,dadra & nagar haveli & daman & diu,368,275638.0
2021,2,meghalaya,139,148434.0
2021,2,andaman & nicobar islands,137,181504.0
2021,2,haryana,12516,11272453.0
2021,2,rajasthan,18281,14357445.0
2021,2,ladakh,46,86251.0
2021,2,punjab,4047,3768919.0
2021,2,assam,3265,3008122.0
2021,2,jharkhand,5180,5084230.0
2021,2,odisha,7942,5832924.0
2021,2,bihar,14301,13301581.0
2021,2,kerala,9530,9676588.0
2021,2,karnataka,40969,39501006.0
2021,2,chandigarh,378,310943.0
2021,2,telangana,28870,20935651.0
2021,2,himachal pradesh,1210,1402338.0
2021,2,west bengal,15200,12396029.0
