Year,Quarter,State,Transaction_count,Transaction_amount
2023,2,karnataka,2067867526,2777599098830.0
2023,2,maharashtra,2063717848,2606004606468.0
2023,2,telangana,1665430971,2698149935008.0
2023,2,andhra pradesh,1305656964,2506039086916.0
2023,2,uttar pradesh,1211410582,1836622076526.0
2023,2,rajasthan,1073459338,1698455586300.0
2023,2,madhya pradesh,848037060,1202440949508.0
2023,2,bihar,683933094,1226046745390.0
2023,2,west bengal,545317686,1009315106972.0
2023,2,odisha,544597829,799332054104.0
2023,3,karnataka,2369262302,2985880895587.0
2023,3,maharashtra,2290678587,2752172184241.0
2023,3,telangana,1875045924,2870202901073.0
2023,3,andhra pradesh,1475164403,2653414098098.0
2023,3,uttar pradesh,1354622466,1861748362006.0
2023,3,rajasthan,1237232167,1800225443616.0
2023,3,madhya pradesh,978812593,1237821998249.0
2023,3,bihar,734238751,1148153363366.0
2023,3,west bengal,632093191,1071548606382.0
2023,3,odisha,622397603,840298338124.0
2023,4,maharashtra,2572162725,3098014934958.0
2023,4,karnataka,2564434164,3241376424383.0
2023,4,telangana,2020822178,3116417474765.0
2023,4,andhra pradesh,1596987426,2802514977823.0
2023,4,uttar pradesh,1566705382,2257441161652.0
2023,4,rajasthan,1349472154,2066379607801.0
2023,4,madhya pradesh,1102294613,1426502880687.0
2023,4,bihar,924427274,1434735808415.0
2023,4,west bengal,737953238,1249394976078.0
2023,4,odisha,732137476,978791865637.0
2023,1,maharashtra,1848268499,2362285906059.0
2023,1,karnataka,1844697189,2470227226317.0
2023,1,telangana,1440331458,2372581734284.0
2023,1,andhra pradesh,1145532464,2249051316530.0
2023,1,uttar pradesh,1002557722,1636936265372.0
2023,1,rajasthan,921096686,1554913375850.0
2023,1,madhya pradesh,734566970,1062026599901.0
2023,1,bihar,547831195,1039276959944.0
2023,1,odisha,482896088,753968977663.0
2023,1,tamil nadu,461212387,715583673518.0
2021,2,maharashtra,573616486,915115055623.7152
2021,2,karnataka,530649046,837887151230.051
2021,2,telangana,495867544,1027958332797.5903
2021,2,andhra pradesh,352767134,850737499108.2987
2021,2,rajasthan,287477039,561702765169.2324
2021,2,uttar pradesh,241949131,482172489166.39343
2021,2,madhya pradesh,223314680,425500768035.631
2021,2,delhi,170157264,281941097684.5416
2021,2,bihar,155603622,374580255186.58875
2021,2,tamil nadu,146158442,263487341026.54623
2021,3,maharashtra,792874060,1159257305167.4514
2021,3,karnataka,753296539,1133234739157.5984
2021,3,telangana,622886768,1178289126292.2617
2021,3,andhra pradesh,432032550,984218035564.1218
2021,3,rajasthan,400284753,710511328542.4897
2021,3,madhya pradesh,311443334,504412603851.49896
2021,3,uttar pradesh,306543384,557080841279.8989
2021,3,delhi,238760608,383858316548.281
2021,3,tamil nadu,204357404,365207323053.92737
2021,3,bihar,187671113,397062760956.3983
2021,4,maharashtra,1010731502,1475358473128.29
2021,4,karnataka,931725438,1375471324349.8774
2021,4,telangana,775989773,1463758189500.9146
2021,4,andhra pradesh,522254003,1156264447083.9229
2021,4,rajasthan,487621597,903934418544.2667
2021,4,uttar pradesh,406157932,773890970072.1895
2021,4,madhya pradesh,404308084,656887492404.4789
2021,4,delhi,292683359,488695314062.3906
2021,4,tamil nadu,259155976,443723952594.79407
2021,4,bihar,245126945,519371614068.7477
2021,1,karnataka,523797492,754995357412.3948
2021,1,maharashtra,517860240,769887352153.2483
2021,1,telangana,412572110,799359264046.5657
2021,1,andhra pradesh,289747970,672444670176.5881
2021,1,rajasthan,252730919,491492581657.63354
2021,1,uttar pradesh,204499547,396287587577.55756
2021,1,madhya pradesh,201998498,343533954382.3015
2021,1,delhi,157359004,266928345043.49225
2021,1,tamil nadu,136556674,248668143873.65317
2021,1,west bengal,118254052,242937207475.51984
2018,2,maharashtra,22285740,36357057241.12254
2018,2,west bengal,18082446,18629183470.204285
2018,2,uttar pradesh,17710943,25720201695.701435
2018,2,karnataka,17116447,33515580081.29709
2018,2,andhra pradesh,12353918,22883914272.633617
2018,2,telangana,10764670,23017201517.652737
2018,2,madhya pradesh,10561412,15924081066.680984
2018,2,tamil nadu,9992128,20125844276.267662
2018,2,rajasthan,9973697,15559086175.759623
2018,2,delhi,9373723,17446299902.205147
2018,3,west bengal,53705416,41843934183.177635
2018,3,maharashtra,31538538,52260817733.24835
2018,3,odisha,30052155,23094515775.585762
2018,3,uttar pradesh,26515356,37012114369.23937
2018,3,karnataka,25980261,48225091755.80772
2018,3,andhra pradesh,25626061,35718044599.21416
2018,3,telangana,19332703,32030093209.72354
2018,3,delhi,18547048,27375846860.618515
2018,3,madhya pradesh,17126985,24149742204.673225
2018,3,tamil nadu,15774078,29330092241.18405
2018,4,maharashtra,46090223,79518937047.82959
2018,4,karnataka,44812071,73008386576.05942
2018,4,west bengal,36513548,40489619211.70402
2018,4,uttar pradesh,36100767,55096743575.91497
2018,4,andhra pradesh,30759548,51473779406.84041
2018,4,delhi,29187719,39722857618.706436
2018,4,telangana,28921154,49509088448.04927
2018,4,tamil nadu,22457444,43302073975.890976
